yardline_100,norm_field_goal_percent,norm_diff_field_goal_percent,norm_diff_blocked_percent,field_goal_attempt,desc,field_goal_result,return_yards,play_duration
32.0,0.689795918367347,0.6348488969724437,0.5816326530612245,1.0,"(1:42) 15-K.Fairbairn 50 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,5.0
33.0,0.689795918367347,0.6348488969724437,0.5816326530612245,1.0,"(11:00) 15-K.Fairbairn 51 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",made,0.0,5.0
34.0,0.8689655172413792,0.6251136658090697,0.5,1.0,"(:03) 39-C.Little 53 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke.",made,0.0,3.0
24.0,0.8146341463414634,0.6059425542803861,0.396875,1.0,"(13:38) 7-J.Sanders 42 yard field goal is No Good, Wide Left, Center-48-B.Ferguson, Holder-16-J.Bailey.",missed,0.0,5.0
19.0,0.8146341463414634,0.6059425542803861,0.396875,1.0,"(4:26) 7-J.Sanders 37 yard field goal is GOOD, Center-48-B.Ferguson, Holder-16-J.Bailey.",made,0.0,4.0
34.0,0.8146341463414634,0.6059425542803861,0.396875,1.0,"(:04) 7-J.Sanders 52 yard field goal is GOOD, Center-48-B.Ferguson, Holder-16-J.Bailey.",made,0.0,4.0
23.0,0.75,0.6785920154129409,0.5,1.0,"(4:54) 16-J.Karty 41 yard field goal is GOOD, Center-47-A.Ward, Holder-42-E.Evans.",made,0.0,4.0
7.0,0.8099999999999999,0.4893211003472571,0.5,1.0,"(12:20) 39-J.Bates 25 yard field goal is GOOD, Center-49-H.Hatten, Holder-3-J.Fox.",made,0.0,3.0
8.0,0.75,0.6785920154129409,0.5,1.0,"(12:35) 16-J.Karty 26 yard field goal is GOOD, Center-47-A.Ward, Holder-42-E.Evans.",made,0.0,3.0
14.0,0.8099999999999999,0.4893211003472571,0.5,1.0,"(:20) 39-J.Bates 32 yard field goal is GOOD, Center-49-H.Hatten, Holder-3-J.Fox.",made,0.0,3.0
35.0,0.8704545454545453,0.5820077821200835,0.5,1.0,"(4:27) 11-C.Dicker 53 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",made,0.0,5.0
7.0,0.8704545454545453,0.5820077821200835,0.5,1.0,"(:29) 11-C.Dicker 25 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",made,0.0,3.0
6.0,0.8704545454545453,0.5820077821200835,0.5,1.0,"(9:11) 11-C.Dicker 24 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",made,0.0,3.0
31.0,0.7149999999999999,0.6731589537223338,0.396875,1.0,"(2:06) 2-D.Carlson 49 yard field goal is No Good, Wide Right, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",missed,0.0,4.0
14.0,0.7149999999999999,0.6731589537223338,0.396875,1.0,"(10:33) 2-D.Carlson 32 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",made,0.0,3.0
5.0,0.6607142857142856,0.6318646573317455,0.5139508928571428,1.0,"(7:19) 9-G.Gano 23 yard field goal is GOOD, Center-59-C.Kreiter, Holder-6-J.Gillan.",made,0.0,3.0
31.0,0.6607142857142856,0.6318646573317455,0.5139508928571428,1.0,"(6:14) 9-G.Gano 50 yard field goal is GOOD, Center-59-C.Kreiter, Holder-6-J.Gillan.",made,0.0,6.0
14.0,0.5969696969696968,0.48817393203711096,0.46255827505827507,1.0,"(:02) 13-J.Slye 32 yard field goal is GOOD, Center-49-J.Cardona, Holder-17-B.Baringer.",made,0.0,2.0
17.0,0.5969696969696968,0.48817393203711096,0.46255827505827507,1.0,"(11:37) 13-J.Slye 35 yard field goal is GOOD, Center-49-J.Cardona, Holder-17-B.Baringer.",made,0.0,3.0
18.0,0.5969696969696968,0.48817393203711096,0.46255827505827507,1.0,"(8:50) 13-J.Slye 37 yard field goal is GOOD, Center-49-J.Cardona, Holder-17-B.Baringer.",made,0.0,4.0
33.0,0.5393939393939393,0.437165976688828,0.5,1.0,"(6:18) 2-E.McPherson 51 yard field goal is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",made,0.0,4.0
29.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(11:03) 4-J.Moody 46 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,5.0
33.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(14:10) 4-J.Moody 51 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,6.0
13.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(:08) 4-J.Moody 31 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,4.0
35.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(3:33) 4-J.Moody 53 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,5.0
5.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(9:46) 4-J.Moody 23 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,3.0
24.0,0.5581395348837209,0.36910340384340523,0.5,1.0,"(4:24) 4-J.Moody 42 yard field goal is GOOD, Center-46-T.Pepper, Holder-3-M.Wishnowsky.",made,0.0,4.0
6.0,0.44390243902439014,0.49725870798648925,0.4451219512195122,1.0,"(9:09) 6-Y.Koo 24 yard field goal is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",made,0.0,3.0
39.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(4:42) 9-C.Boswell 57 yard field goal is GOOD, Center-46-C.Kuntz, Holder-5-C.Johnston.",made,0.0,5.0
33.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(12:58) 9-C.Boswell 51 yard field goal is GOOD, Center-46-C.Kuntz, Holder-5-C.Johnston.",made,0.0,4.0
25.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(:03) 9-C.Boswell 44 yard field goal is GOOD, Center-46-C.Kuntz, Holder-5-C.Johnston.",made,0.0,3.0
38.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(7:50) 9-C.Boswell 56 yard field goal is GOOD, Center-46-C.Kuntz, Holder-5-C.Johnston.",made,0.0,5.0
22.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(:29) 9-C.Boswell 40 yard field goal is GOOD, Center-46-C.Kuntz, Holder-5-C.Johnston.",made,0.0,4.0
7.0,0.8704545454545453,0.44138597820690356,0.5909090909090909,1.0,"(:31) 9-C.Boswell 25 yard field goal is GOOD, Center-46-C.Kuntz, Holder-13-S.Miller.",made,0.0,3.0
22.0,0.8592592592592592,0.575623347566635,0.5,1.0,"(14:11) 6-N.Folk 40 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse.",made,0.0,5.0
6.0,0.6959999999999998,0.5569600459902269,0.98,1.0,"(:30) 8-C.Santos 24 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",made,0.0,3.0
32.0,0.6959999999999998,0.5569600459902269,0.98,1.0,"(14:51) 8-C.Santos 50 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",made,0.0,4.0
30.0,0.6959999999999998,0.5569600459902269,0.98,1.0,"(9:57) 8-C.Santos 48 yard field goal is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",made,0.0,5.0
38.0,0.8848484848484849,0.7460832435946275,0.39144736842105265,1.0,"(11:39) 4-C.McLaughlin 56 yard field goal is GOOD, Center-86-E.Deckers, Holder-5-J.Camarda.",made,0.0,5.0
16.0,0.8848484848484849,0.7460832435946275,0.39144736842105265,1.0,"(5:11) 4-C.McLaughlin 34 yard field goal is GOOD, Center-86-E.Deckers, Holder-5-J.Camarda.",made,0.0,3.0
29.0,0.6579999999999998,0.6556077131481899,0.4922340425531915,1.0,"(:21) 3-C.York 47 yard field goal is No Good, Wide Right, Center-69-T.Ott, Holder-10-T.Way.",missed,0.0,5.0
11.0,0.8848484848484849,0.7460832435946275,0.39144736842105265,1.0,"(:20) 4-C.McLaughlin 29 yard field goal is GOOD, Center-86-E.Deckers, Holder-5-J.Camarda.",made,0.0,4.0
38.0,0.6579999999999998,0.6556077131481899,0.4922340425531915,1.0,"(9:26) 3-C.York 56 yard field goal is No Good, Wide Right, Center-69-T.Ott, Holder-10-T.Way.",missed,0.0,5.0
